"","time","S","I","R","replicate"
"35",20.6896551724138,6307.89226712275,136.653335958996,95.1456780362225,2
"36",25.8620689655172,5829.02237288697,535.643106764315,175.025801466684,2
"37",31.0344827586207,4701.21231453229,1316.3983164961,522.080650089575,2
"38",36.2068965517241,3047.49142605647,2372.28967670005,1119.91017836145,2
"39",41.3793103448276,2528.89153373845,2029.98197795302,1980.81776942649,2
"40",46.551724137931,2055.47256883007,1786.81686578121,2697.40184650669,2
"41",51.7241379310345,927.098261705894,2164.11138095107,3448.481638461,2
"42",56.8965517241379,477.093334128817,1889.21342773934,4173.38451924981,2
"43",62.0689655172414,157.979394972877,1534.10031221765,4847.61157392743,2
"44",67.2413793103448,117.41355918569,1076.05946507075,5346.21825686152,2
"45",72.4137931034483,104.275790871173,741.651657984537,5693.76383226225,2
"46",77.5862068965517,91.5704014876765,515.466866968407,5932.65401266188,2
"47",82.7586206896552,82.8429754453566,357.298965440598,6099.54934023201,2
"48",87.9310344827586,71.1497403607799,252.320972578455,6216.22056817872,2
"49",93.1034482758621,65.6769081484985,176.65317764976,6297.3611953197,2
"50",98.2758620689655,63.8345729888176,121.732135986357,6354.12457214279,2
"51",103.448275862069,59.5833845888943,86.4831274496197,6393.62476907945,2
"52",108.620689655172,58.0151282740475,60.0051743393046,6421.67097850461,2
"53",113.793103448276,57.5023767579894,41.2171193321922,6440.97178502778,2
"54",118.965517241379,56.669374864315,28.7113711940958,6454.31053505955,2
"55",124.137931034483,56.5474383419652,19.6153996793399,6463.52844309665,2
"56",129.310344827586,56.3288277263571,13.5073325200685,6469.85512087153,2
"57",134.48275862069,56.1819780035058,9.3108702868319,6474.19843282762,2
"58",139.655172413793,56.0425870321753,6.45069534514875,6477.19799874063,2
"59",144.827586206897,55.9364614522402,4.47528305928535,6479.27953660643,2
"60",150,55.898803793435,3.07210222874044,6480.72037509578,2
"61",0,8854.3873350136,10.3730012516025,0,3
"62",5.17241379310345,8837.07991224102,22.461785483426,5.21863854075891,3
"63",10.3448275862069,8797.78279702658,51.14361867345,15.8339205651757,3
"64",15.5172413793103,8619.7501363217,193.211904466419,51.7982954770795,3
"65",20.6896551724138,7997.31612211823,720.897740442756,146.546473704215,3
"66",25.8620689655172,7256.76614972868,1104.70793783956,503.28624869696,3
"67",31.0344827586207,5225.93661120548,2519.94914489565,1118.87458016408,3
"68",36.2068965517241,3649.50076949622,3037.19433112121,2178.06523564777,3
"69",41.3793103448276,2897.1713030152,2621.59678536261,3345.9922478874,3
"70",46.551724137931,2271.16826877257,2330.60229900541,4262.98976848722,3
"71",51.7241379310345,2048.38586398803,1790.9958518158,5025.37862046137,3
"72",56.8965517241379,1509.38763422066,1651.44929940454,5703.92340264,3
"73",62.0689655172414,948.662652152484,1608.17048585226,6307.92719826045,3
"74",67.2413793103448,560.673065611283,1434.74843198476,6869.33883866916,3
